MatchId,LeagueId,Date,HomeTeamId,AwayTeamId,Home_Goals,Away_Goals,Home_Corners,Away_Corners
2826,793,02/04/2005,410,908,2,0,15,1
2827,793,02/04/2005,338,597,3,2,3,6
2828,793,02/04/2005,1364,246,2,3,13,2
2829,793,02/04/2005,1088,1397,1,0,2,5
2830,793,02/04/2005,830,1412,2,3,3,6
2832,793,02/04/2005,548,357,1,1,7,8
2834,793,02/04/2005,1049,1090,4,1,5,8
2837,793,02/04/2005,870,1026,2,0,6,4
2839,793,02/04/2005,1034,1383,2,2,5,2
2840,793,02/04/2005,715,662,2,2,9,7
2841,781,02/04/2005,613,513,0,0,7,9
2843,781,02/04/2005,906,1143,3,2,3,4
2849,795,02/04/2005,301,542,2,0,1,4
2850,795,02/04/2005,1089,627,1,2,8,6
2851,795,02/04/2005,773,324,3,2,8,4
2852,795,02/04/2005,551,526,1,0,10,2
2853,795,02/04/2005,1275,876,4,1,2,3
2854,795,02/04/2005,535,505,3,0,13,1
2869,811,02/04/2005,1212,991,2,0,4,5
3598,800,02/04/2005,1352,382,2,1,3,6
3599,800,02/04/2005,496,1827,0,1,8,2
3600,800,02/04/2005,1135,1345,4,1,5,5
3601,741,02/04/2005,1028,534,2,1,6,2
3602,741,02/04/2005,694,270,2,1,6,2
3606,800,02/04/2005,1830,809,2,2,8,2
3607,800,02/04/2005,1831,726,2,2,9,3
3784,729,02/04/2005,1740,396,0,0,8,2
3785,729,02/04/2005,974,1193,2,2,6,2
3786,729,02/04/2005,1118,1237,5,0,4,4
3787,729,02/04/2005,912,445,3,3,5,2
3788,801,02/04/2005,489,599,2,0,3,5
3789,801,02/04/2005,758,434,1,1,6,4
2882,776,03/04/2005,1398,402,5,1,1,8
2884,776,03/04/2005,798,1278,2,0,4,8
2887,776,03/04/2005,1121,374,1,2,9,3
3603,800,03/04/2005,710,907,1,3,1,5
3605,800,03/04/2005,928,1052,1,0,8,5
3609,800,03/04/2005,997,944,1,2,6,1
3610,800,03/04/2005,269,1432,1,0,4,3
3611,800,03/04/2005,1177,561,2,1,4,7
3613,800,03/04/2005,369,1098,2,0,5,4
3616,741,03/04/2005,1117,816,0,0,9,1
3617,741,03/04/2005,834,1424,1,2,9,5
3618,741,03/04/2005,224,784,1,1,8,4
3619,741,03/04/2005,1399,363,1,1,9,7
3620,741,03/04/2005,1326,473,2,0,4,3
3621,741,03/04/2005,523,438,4,0,4,4
3622,741,03/04/2005,1248,1442,1,2,6,2
3790,729,03/04/2005,1741,297,2,0,6,2
3791,729,03/04/2005,601,1302,3,1,2,6
3792,729,03/04/2005,567,808,1,1,4,10
3793,729,03/04/2005,460,312,0,1,5,4
3794,801,03/04/2005,1773,214,1,1,3,2
3795,801,03/04/2005,1072,1223,0,1,5,4
3094,776,05/04/2005,412,1171,0,3,2,1
3095,776,05/04/2005,1251,831,3,2,6,7
3096,776,05/04/2005,196,1311,2,0,12,2
3097,776,05/04/2005,442,580,3,1,10,3
3215,795,06/04/2005,320,914,0,1,4,4
3216,795,06/04/2005,505,1010,0,2,7,4
3217,795,06/04/2005,526,216,1,2,6,8
3218,795,06/04/2005,1073,1089,6,0,7,0
3219,795,06/04/2005,876,1423,1,0,4,3
3944,801,06/04/2005,1168,489,3,2,4,4
3945,801,06/04/2005,570,916,1,0,10,2
3946,801,06/04/2005,1092,459,3,1,8,5
3947,801,06/04/2005,1223,786,2,2,10,4
3948,801,06/04/2005,1035,758,2,1,4,8
4069,741,06/04/2005,694,797,4,1,10,0
4090,741,06/04/2005,363,224,4,2,13,6
4091,741,06/04/2005,473,1399,0,1,4,9
4092,741,06/04/2005,438,1326,0,2,4,4
4093,741,06/04/2005,522,1248,4,1,7,3
4094,741,06/04/2005,1442,523,0,2,11,5
3422,793,09/04/2005,998,1034,0,0,6,3
3424,793,09/04/2005,1026,338,1,1,4,5
3425,793,09/04/2005,1397,1049,3,1,5,6
3427,793,09/04/2005,662,830,0,1,8,5
3428,793,09/04/2005,1383,691,1,1,2,5
3849,816,09/04/2005,791,261,2,0,3,3
3850,816,09/04/2005,1137,296,0,0,8,6
4008,801,09/04/2005,786,1239,1,4,7,4
4074,800,09/04/2005,907,928,0,2,6,5
4075,800,09/04/2005,1345,269,2,3,3,3
4076,800,09/04/2005,809,496,2,0,3,5
4077,800,09/04/2005,726,1177,0,0,7,4
4078,800,09/04/2005,1098,1135,1,0,6,8
4095,741,09/04/2005,797,270,2,0,5,4
4107,741,09/04/2005,1248,694,1,4,2,2
4481,729,09/04/2005,1237,567,1,1,7,7
3514,776,10/04/2005,1116,1251,2,0,6,1
3541,795,10/04/2005,1089,320,2,2,4,3
3542,795,10/04/2005,1010,542,2,1,8,5
4010,801,10/04/2005,489,434,2,1,2,4
4011,801,10/04/2005,771,1253,3,0,3,6
4012,801,10/04/2005,599,1092,1,1,1,5
4013,801,10/04/2005,570,1168,1,2,7,4
4014,801,10/04/2005,758,1072,1,1,6,5
4015,801,10/04/2005,1404,1035,3,1,8,2
4016,801,10/04/2005,459,214,1,0,1,1
4017,801,10/04/2005,1773,238,0,1,5,2
4070,800,10/04/2005,382,369,2,0,5,5
4071,800,10/04/2005,561,710,1,1,7,2
4073,800,10/04/2005,944,1352,1,1,6,6
4108,741,10/04/2005,1399,438,0,1,3,3
4109,741,10/04/2005,534,816,1,0,3,3
4110,741,10/04/2005,834,363,3,0,9,4
4111,741,10/04/2005,224,473,1,4,1,7
4112,741,10/04/2005,1326,1442,1,0,3,6
4113,741,10/04/2005,523,522,2,0,6,5
